"'ela",26,1,1,321,0.212,-10
"ela",15,1,1,196,0.123,-10
"'eta",16,1,0,201,0.153,-10
"ktb",152,6,2,2045,0.842,-10
"mn",54,2,1,612,0.346,-10
"rsl",51,2,0,640,0.278,-10
"sal",445,18,2,6997,2.61,-10
"shhd",121,3,1,1133,0.607,-10
"sm'e",1381,88,13,35134,8.733,-10
"yrd",38,2,0,437,0.298,-10
"l",132,4,1,1514,0.919,-9
"raa",759,19,1,7459,3.376,-5
"dkr",347,12,2,4720,1.812,-4
"adn",41,2,0,541,0.253,-2
"qal",13759,428,73,170962,60.283,-2
"rf'e",98,3,0,881,0.442,9
"blgh",14,1,1,199,0.071,11
"lqa",57,2,1,550,0.241,12
"an",1175,47,6,18791,12.627,14
"z'em",19,1,1,317,0.255,15
"'en",8595,1402,148,560533,87.803,90
"hdth",6534,1447,737,578518,94.002,227
"rwa",19,2,1,619,0.39,229
"qra",315,11,2,4152,1.517,275
"akhbr",1108,216,157,86313,41.051,296
"anba",858,126,90,50113,52.265,382
