"فسل","سل"
"فعن","عن"
"لعن","عن"
"لنا","نا"
"وسل","سل"
"وعن","عن"
"ونا","نا"
"يسل","سل"
"بخبر","خبر"
"بذكر","ذكر"
"برأت","رأت"
"بزعم","زعم"
"بقرا","قرا"
"بكتب","كتب"
"فثنى","ثنى"
"فحدث","حدث"
"فخبر","خبر"
"فذكر","ذكر"
"فرأت","رأت"
"فرأى","رأى"
"فروى","روى"
"فزعم","زعم"
"فسأل","سأل"
"فسئل","سئل"
"فسال","سال"
"فسمع","سمع"
"فشهد","شهد"
"فقال","قال"
"فقرأ","قرأ"
"فقرئ","قرئ"
"فقرا","قرا"
"فقلت","قلت"
"فقيل","قيل"
"فكتب","كتب"
"فيرد","يرد"
"لاعن","عن"
"لحدث","حدث"
"لذكر","ذكر"
"لرأت","رأت"
"لرأى","رأى"
"لسمع","سمع"
"لشهد","شهد"
"لقال","قال"
"لقلت","قلت"
"لكتب","كتب"
"ليرد","يرد"
"وثنا","ثنا"
"وثنى","ثنى"
"وثني","ثني"
"وحدث","حدث"
"وخبر","خبر"
"وذكر","ذكر"
"ورأت","رأت"
"ورأى","رأى"
"وروى","روى"
"وزعم","زعم"
"وسأل","سأل"
"وسئل","سئل"
"وسال","سال"
"وسمع","سمع"
"وشهد","شهد"
"وقال","قال"
"وقرأ","قرأ"
"وقرئ","قرئ"
"وقرا","قرا"
"وقلت","قلت"
"وقيل","قيل"
"وكتب","كتب"
"ونبا","نبا"
"ويرد","يرد"
"يثني","ثني"
"يخبر","خبر"
"يذكر","ذكر"
"يروى","روى"
"يزعم","زعم"
"يسأل","سأل"
"يسئل","سئل"
"يسمع","سمع"
"يشهد","شهد"
"يقال","قال"
"يقرأ","قرأ"
"يقرئ","قرئ"
"يقيل","قيل"
"يكتب","كتب"
"ينبأ","نبأ"
"بذكره","ذكره"
"بسمعه","سمعه"
"بكتاب","كتاب"
"فأخبر","أخبر"
"فأذكر","أذكر"
"فأرسل","أرسل"
"فأرنا","أرنا"
"فأرني","أرني"
"فأنبأ","أنبأ"
"فاذكر","اذكر"
"فبلغه","بلغه"
"فتحدث","تحدث"
"فتقول","تقول"
"فحثنا","حثنا"
"فحدثت","حدثت"
"فحدثه","حدثه"
"فخبره","خبره"
"فذكرت","ذكرت"
"فذكره","ذكره"
"فرأيت","رأيت"
"فرفعه","رفعه"
"فرواه","رواه"
"فسألت","سألت"
"فسالت","سالت"
"فسمعت","سمعت"
"فسمعه","سمعه"
"فشهدت","شهدت"
"فقالا","قالا"
"فقالت","قالت"
"فقرأت","قرأت"
"فقلنا","قلنا"
"فلقيت","لقيت"
"فيحدث","يحدث"
"فيرده","يرده"
"فيقول","يقول"
"لأحدث","حدث"
"لأخبر","أخبر"
"لأذكر","أذكر"
"لأسأل","سأل"
"لأسمع","سمع"
"لأشهد","شهد"
"لأقرأ","قرأ"
"لاثني","ثني"
"لتقول","تقول"
"لرأيت","رأيت"
"لسألت","سألت"
"لسمعت","سمعت"
"لقلنا","قلنا"
"لكتاب","كتاب"
"للقيت","لقيت"
"ليحدث","يحدث"
"ليقول","يقول"
"وأخبر","أخبر"
"وأذكر","أذكر"
"وأرسل","أرسل"
"وأرنا","أرنا"
"وأرني","أرني"
"وأنبأ","أنبأ"
"وأنبا","أنبا"
"واذكر","اذكر"
"وبلغه","بلغه"
"وتحدث","تحدث"
"وتقول","تقول"
"وثناه","ثناه"
"وحثنا","حثنا"
"وحدثت","حدثت"
"وحدثه","حدثه"
"ودثنا","دثنا"
"وذكرت","ذكرت"
"وذكره","ذكره"
"ورأيت","رأيت"
"ورفعه","رفعه"
"ورواه","رواه"
"وسألت","سألت"
"وسمعت","سمعت"
"وسمعه","سمعه"
"وشهدت","شهدت"
"وقالا","قالا"
"وقالت","قالت"
"وقاله","قاله"
"وقثنا","قثنا"
"وقرأت","قرأت"
"وقلنا","قلنا"
"وكتاب","كتاب"
"ولقيت","لقيت"
"ويحدث","يحدث"
"ويرده","يرده"
"ويقول","يقول"
"يبلغه","بلغه"
"يتحدث","تحدث"
