"'ela",26,1,1,321,0.21163513583103383,-10
"ela",15,1,1,196,0.12343542738784415,-10
"'eta",16,1,0,201,0.15260674556134113,-10
"ktb",152,6,2,2045,0.8422235704328669,-10
"mn",54,2,1,612,0.3457880157003513,-10
"rsl",51,2,0,640,0.27796228655815736,-10
"sal",445,18,2,6997,2.6104364738536074,-10
"shhd",121,3,1,1133,0.6066845035652646,-10
"sm'e",1381,88,13,35134,8.732826056968085,-10
"yrd",38,2,0,437,0.2978011634811318,-10
"l",132,4,1,1514,0.9189766963918445,-9
"raa",759,19,1,7459,3.3760497252694686,-5
"dkr",347,12,2,4720,1.8121747396235843,-4
"adn",41,2,0,541,0.25259226188320666,-2
"qal",13759,428,73,170962,60.28328321910198,-2
"rf'e",98,3,0,881,0.4419381315270654,9
"blgh",14,1,1,199,0.07062801978253595,11
"lqa",57,2,1,550,0.2411583282446198,12
"an",1175,47,6,18791,12.627047501136337,14
"z'em",19,1,1,317,0.2552909894955944,15
"'en",8595,1402,148,560533,87.80318113052817,90
"hdth",6534,1447,737,578518,94.0023092960042,227
"rwa",19,2,1,619,0.3899876664357711,229
"qra",315,11,2,4152,1.5172287784805074,275
"akhbr",1108,216,157,86313,41.05134036457825,296
"anba",858,126,90,50113,52.26454689781923,382
